"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Dusseldorf","home","loss","[{""time"":103,""event"":""foul""}]","1.94","42%","19","5","14","1","14","0","19","19","15","5",
"Bochum","away","win","[{""time"":5,""event"":""foul""},{""time"":8,""event"":""foul""},{""time"":18,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":106,""event"":""foul""}]","2.76","58%","24","8","8","4","16","0","13","24","21","5",
"Bochum","home","loss","[{""time"":71,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.32","55%","15","3","7","2","12","4","17","10","13","5",
"Dusseldorf","away","win","[{""time"":13,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":72,""event"":""goal""}]","2.25","45%","19","8","8","0","11","3","16","23","14","3",
"Bayer Leverkusen","home","win","[{""time"":12,""event"":""goal""},{""time"":27,""event"":""goal""}]","2.86","62%","19","8","5","0","11","5","6","10","6","1",
"Augsburg","away","loss","[{""time"":41,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":82,""event"":""foul""}]","0.77","38%","8","2","4","1","6","0","11","10","7","6",
"Dortmund","home","win","[{""time"":30,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":72,""event"":""goal""},{""time"":88,""event"":""goal""}]","2.83","71%","21","10","7","0","11","0","13","17","4","1",
"Darmstadt","away","loss","[{""time"":7,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":67,""event"":""foul""}]","0.42","29%","7","1","3","3","6","2","4","15","10","6",
"Eintracht Frankfurt","home","draw","[{""time"":60,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.02","46%","19","6","8","2","13","0","12","22","10","3",
"RB Leipzig","away","draw","[{""time"":42,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.73","54%","9","5","3","2","4","4","8","16","11","4",
"Heidenheim","home","win","[{""time"":16,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":78,""event"":""goal""}]","0.92","50%","13","7","5","1","6","2","19","27","9","8",
