"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Sevilla","home","loss","[{""time"":31,""event"":""goal""},{""time"":36,""event"":""foul""}]","1.77","38%","15","6","6","2","8","1","1","16","7","11","4",
"Barcelona","away","win","[{""time"":15,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":59,""event"":""goal""}]","1.38","62%","11","6","5","1","4","1","7","10","9","9","5",
"Celta Vigo","home","draw","[{""time"":49,""event"":""goal""},{""time"":62,""event"":""goal""}]","1.52","54%","9","4","2",,"4","1","3","17","19","17","0",
"Valencia","away","draw","[{""time"":5,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":80,""event"":""foul""}]","1.96","46%","12","1","2",,"8","3","1","20","13","18","2",
"Las Palmas","home","draw","[{""time"":65,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":76,""event"":""foul""}]","1.03","62%","10","4","2","2","5","1","3","12","29","16","3",
"Alaves","away","draw","[{""time"":33,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":50,""event"":""goal""}]","2.11","38%","14","4","6","1","7","3","1","17","18","10","3",
"Getafe","home","loss","[{""time"":48,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.78","52%","16","6","3","0","6","4","0","14","14","12","2",
"Mallorca","away","win","[{""time"":30,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":93,""event"":""goal""}]","1.60","48%","9","4","4","2","3","2","2","8","21","10","5",
"Real Madrid","home","draw","[{""time"":5,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.84","60%","13","5","4","2","5","3","4","11","11","8","3",
"Betis","away","draw","[{""time"":39,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.99","40%","11","3","5","1","7","1","2","12","9","11","5",
"Almeria","home","win","[{""time"":21,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":86,""event"":""goal""}]","2.56","46%","27","12","1","2","11","4","0","10","11","4","3",
"Cadiz CF","away","loss","[{""time"":13,""event"":""foul""},{""time"":30,""event"":""goal""},{""time"":78,""event"":""foul""}]","0.37","54%","12","4","4","2","7","1","1","4","20","9","6",
"Rayo Vallecano","home","loss","[{""time"":84,""event"":""foul""}]","1.07","65%","17","4","8","1","7","6","0","14","19","6","0",
"Ath Bilbao","away","win","[{""time"":44,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":67,""event"":""goal""}]","0.78","35%","7","1","2","1","3","3","2","4","22","13","4",
"Real Sociedad","home","loss","[{""time"":47,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.55","60%","14","4","8","3","3","7","0","19","11","19","2","0"
"Atl. Madrid","away","win","[{""time"":9,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":93,""event"":""goal""}]","1.68","40%","10","4","4","5","3","3","4","18","24","15","4","1"
"Osasuna","home","draw","[{""time"":30,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.95","41%","12","6","6","4","3","3","1","11","14","13","2",
"Villarreal","away","draw","[{""time"":10,""event"":""foul""},{""time"":17,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.55","59%","11","3","4","3","6","2","4","14","22","6","5",
