"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Arsenal","home","win","[{""time"":39,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":89,""event"":""goal""}]","3.12","69%","26","5","8","4","21","1","15","20","8","1",,
"Everton","away","loss","[{""time"":40,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.50","31%","5","2","1","3","3","4","12","17","11","3",,
"Brentford","home","loss","[{""time"":2,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.07","54%","10","5","3","4","5","2","12","18","15","3",,
"Newcastle","away","win","[{""time"":21,""event"":""goal""},{""time"":28,""event"":""foul""},{""time"":36,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":95,""event"":""foul""}]","3.47","46%","12","7","0","4","5","1","17","22","11","3",,
"Brighton","home","loss","[{""time"":87,""event"":""foul""}]","1.76","56%","17","3","7","1","14","0","10","11","10","2","0",
"Manchester Utd","away","win","[{""time"":22,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":88,""event"":""goal""},{""time"":94,""event"":""foul""}]","1.37","44%","11","4","5","3","7","1","8","9","9","3","0",
"Burnley","home","loss","[{""time"":65,""event"":""foul""},{""time"":72,""event"":""goal""}]","1.10","69%","20","3","4","1","17","0","7","13","11","4",,
"Nottingham","away","win","[{""time"":2,""event"":""goal""},{""time"":14,""event"":""goal""}]","1.45","31%","12","6","3","0","6","2","11","10","5","2",,
"Chelsea","home","win","[{""time"":17,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":78,""event"":""foul""}]","0.90","63%","16","6","6","2","10","0","9","17","5","4",,
"Bournemouth","away","loss","[{""time"":27,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":80,""event"":""foul""}]","2.34","37%","22","5","5","3","17","1","6","19","9","4",,
"Crystal Palace","home","win","[{""time"":9,""event"":""goal""},{""time"":24,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":69,""event"":""goal""}]","2.31","53%","15","9","2","1","6","3","4","8","10","2",,
